sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
657,98,4,2.12029833349711,1.9897448572960115,-0.13055347620109847,1784350466.2771342,1784350467.704531,1784350466.9908326,1.69202479,"[dac] CH_A set to +1.990 V (code=39287)
"
658,98,5,1.9897448572960115,1.8591913810949128,-0.1305534762010987,1784350467.704741,1784350469.145308,1784350468.4250245,1.69068417,"[dac] CH_A set to +1.859 V (code=38860)
"
659,98,6,1.8591913810949128,1.728637904893814,-0.1305534762010987,1784350469.145497,1784350470.586981,1784350469.866239,1.71213403,"[dac] CH_A set to +1.729 V (code=38432)
"
660,98,7,1.728637904893814,1.5980844286927154,-0.1305534762010987,1784350470.5871758,1784350472.0212858,1784350471.3042307,1.68264048,"[dac] CH_A set to +1.598 V (code=38004)
"
661,98,8,1.5980844286927154,1.4675309524916167,-0.1305534762010987,1784350472.0215292,1784350473.454863,1784350472.7381961,1.65985001,"[dac] CH_A set to +1.467 V (code=37576)
"
662,98,9,1.4675309524916167,1.336977476290518,-0.1305534762010987,1784350473.455083,1784350474.8803542,1784350474.1677184,1.65448754,"[dac] CH_A set to +1.337 V (code=37149)
"
663,98,10,1.336977476290518,1.2064240000894193,-0.1305534762010987,1784350474.8807921,1784350476.321412,1784350475.601102,1.63437831,"[dac] CH_A set to +1.206 V (code=36721)
"
664,98,11,1.2064240000894193,1.0758705238883208,-0.13055347620109847,1784350476.32423,1784350477.774507,1784350477.0493684,1.5914786,"[dac] CH_A set to +1.076 V (code=36293)
"
665,98,12,1.0758705238883208,0.9453170476872221,-0.1305534762010987,1784350477.774743,1784350479.204706,1784350478.4897246,1.56332567,"[dac] CH_A set to +0.945 V (code=35865)
"
666,98,13,0.9453170476872221,0.8147635714861234,-0.1305534762010987,1784350479.2050822,1784350480.637975,1784350479.9215286,1.51506349,"[dac] CH_A set to +0.815 V (code=35437)
"
667,98,14,0.8147635714861234,0.6842100952850247,-0.1305534762010987,1784350480.638228,1784350482.070796,1784350481.354512,1.4735044,"[dac] CH_A set to +0.684 V (code=35009)
"
668,98,15,0.6842100952850247,0.553656619083926,-0.1305534762010987,1784350482.07101,1784350483.4964101,1784350482.78371,1.42658285,"[dac] CH_A set to +0.554 V (code=34582)
"
669,98,16,0.553656619083926,0.4231031428828276,-0.13055347620109847,1784350483.496657,1784350484.9380338,1784350484.2173452,1.36491452,"[dac] CH_A set to +0.423 V (code=34154)
"
670,98,17,0.4231031428828276,0.29254966668172866,-0.13055347620109892,1784350484.9383051,1784350486.375505,1784350485.6569052,1.34212405,"[dac] CH_A set to +0.292 V (code=33726)
"
671,98,18,0.29254966668172866,0.1619961904806302,-0.13055347620109847,1784350486.375707,1784350487.8120031,1784350487.093855,1.30324619,"[dac] CH_A set to +0.162 V (code=33298)
"
672,98,19,0.1619961904806302,0.03144271427953127,-0.13055347620109892,1784350487.812206,1784350489.238251,1784350488.5252285,1.24559971,"[dac] CH_A set to +0.031 V (code=32870)
"
673,98,20,0.03144271427953127,-0.0991107619215672,-0.13055347620109847,1784350489.2384498,1784350490.688124,1784350489.9632869,1.15711906,"[dac] CH_A set to -0.099 V (code=32443)
"
674,98,21,-0.0991107619215672,-0.22966423812266612,-0.13055347620109892,1784350490.688343,1784350492.122717,1784350491.40553,1.08338519,"[dac] CH_A set to -0.230 V (code=32015)
"
675,98,22,-0.22966423812266612,-0.3602177143237646,-0.13055347620109847,1784350492.122936,1784350493.562075,1784350492.8425055,1.04584795,"[dac] CH_A set to -0.360 V (code=31587)
"
676,98,23,-0.3602177143237646,-0.49077119052486307,-0.13055347620109847,1784350493.562357,1784350494.995938,1784350494.2791476,0.974795305,"[dac] CH_A set to -0.491 V (code=31159)
"
677,98,24,-0.49077119052486307,-0.621324666725962,-0.13055347620109892,1784350494.996137,1784350496.417054,1784350495.7065954,0.899720817,"[dac] CH_A set to -0.621 V (code=30732)
"
