dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
382,23,post,6,1784346742.310102,1784346742.5202649,1784346742.4151835,0.901061433
383,23,post,7,1784346742.5204742,1784346742.7268622,1784346742.6236682,0.883633426
384,24,pre,0,1784346769.328744,1784346769.531379,1784346769.4300613,1.59818168
385,24,pre,1,1784346769.531889,1784346769.742008,1784346769.6369486,1.61024722
386,24,pre,2,1784346769.7422562,1784346769.9485261,1784346769.8453913,1.58209429
387,24,pre,3,1784346769.948724,1784346770.158852,1784346770.0537882,1.63035646
388,24,pre,4,1784346770.1590679,1784346770.3596318,1784346770.2593498,1.56734751
389,24,pre,5,1784346770.359842,1784346770.565717,1784346770.4627795,1.59013798
390,24,pre,6,1784346770.565952,1784346770.7746508,1784346770.6703014,1.58879737
391,24,pre,7,1784346770.774824,1784346770.984226,1784346770.879525,1.57405059
392,24,post,0,1784346789.649364,1784346789.855809,1784346789.7525864,1.59550045
393,24,post,1,1784346789.8561,1784346790.0573142,1784346789.956707,1.60756599
394,24,post,2,1784346790.057503,1784346790.2669928,1784346790.162248,1.57405059
395,24,post,3,1784346790.26717,1784346790.477302,1784346790.372236,1.59818168
396,24,post,4,1784346790.477508,1784346790.678574,1784346790.578041,1.62767523
397,24,post,5,1784346790.678813,1784346790.889029,1784346790.783921,1.59684106
398,24,post,6,1784346790.8892422,1784346791.0899851,1784346790.9896135,1.5914786
399,24,post,7,1784346791.0902028,1784346791.294768,1784346791.1924853,1.6089066
400,25,pre,0,1784346800.712322,1784346800.922472,1784346800.817397,1.57941306
401,25,pre,1,1784346800.9227781,1784346801.125053,1784346801.0239155,1.59415983
402,25,pre,2,1784346801.125233,1784346801.326559,1784346801.225896,1.59281921
403,25,pre,3,1784346801.3268852,1784346801.536389,1784346801.4316373,1.56064443
404,25,pre,4,1784346801.5365849,1784346801.738226,1784346801.6374054,1.60488476
405,25,pre,5,1784346801.7384121,1784346801.944345,1784346801.8413787,1.58879737
406,25,pre,6,1784346801.944563,1784346802.145476,1784346802.0450196,1.60354414
407,25,pre,7,1784346802.145686,1784346802.3493109,1784346802.2474985,1.59818168
408,25,post,0,1784346820.983706,1784346821.184462,1784346821.084084,1.55930382
409,25,post,1,1784346821.184662,1784346821.38483,1784346821.2847462,1.56868813
410,25,post,2,1784346821.385043,1784346821.587305,1784346821.486174,1.6169503
411,25,post,3,1784346821.5877042,1784346821.7888021,1784346821.6882532,1.58477552
412,25,post,4,1784346821.789065,1784346821.996808,1784346821.8929365,1.61024722
413,25,post,5,1784346821.997068,1784346822.1990888,1784346822.0980783,1.61426907
414,25,post,6,1784346822.1992881,1784346822.4012501,1784346822.3002691,1.58477552
415,25,post,7,1784346822.401461,1784346822.6075761,1784346822.5045185,1.58879737
416,26,pre,0,1784346873.6909802,1784346873.901162,1784346873.796071,0.561885621
417,26,pre,1,1784346873.901432,1784346874.1097631,1784346874.0055976,0.541776383
418,26,pre,2,1784346874.110019,1784346874.315681,1784346874.21285,0.545798231
419,26,pre,3,1784346874.3158772,1784346874.521503,1784346874.4186902,0.53641392
420,26,pre,4,1784346874.521688,1784346874.7318232,1784346874.6267557,0.532392072
421,26,pre,5,1784346874.731987,1784346874.932443,1784346874.8322148,0.561885621
422,26,pre,6,1784346874.932637,1784346875.1383018,1784346875.0354695,0.549820078
423,26,pre,7,1784346875.1385028,1784346875.348659,1784346875.2435808,0.569929316
424,26,post,0,1784346894.033275,1784346894.236746,1784346894.1350105,0.51362345
425,26,post,1,1784346894.236937,1784346894.438142,1784346894.3375397,0.517645298
426,26,post,2,1784346894.438378,1784346894.6443388,1784346894.5413585,0.539095151
427,26,post,3,1784346894.644545,1784346894.845265,1784346894.744905,0.512282834
428,26,post,4,1784346894.845438,1784346895.0486012,1784346894.9470196,0.540435767
429,26,post,5,1784346895.04878,1784346895.25294,1784346895.1508598,0.53641392
430,26,post,6,1784346895.2531981,1784346895.463347,1784346895.3582726,0.539095151
431,26,post,7,1784346895.4635289,1784346895.673722,1784346895.5686255,0.520326529
432,27,pre,0,1784346905.1230688,1784346905.330018,1784346905.2265434,0.533732688
433,27,pre,1,1784346905.3302631,1784346905.5388641,1784346905.4345636,0.532392072
434,27,pre,2,1784346905.5390668,1784346905.7477388,1784346905.6434028,0.517645298
435,27,pre,3,1784346905.747936,1784346905.954845,1784346905.8513904,0.514964066
436,27,pre,4,1784346905.9550982,1784346906.162876,1784346906.0589871,0.527029609
437,27,pre,5,1784346906.163139,1784346906.370083,1784346906.266611,0.510942218
438,27,pre,6,1784346906.370314,1784346906.579574,1784346906.474944,0.531051456
439,27,pre,7,1784346906.579854,1784346906.789991,1784346906.6849225,0.477426822
440,27,post,0,1784346925.483266,1784346925.6934662,1784346925.588366,0.516304682
441,27,post,1,1784346925.693717,1784346925.895453,1784346925.794585,0.521667145
442,27,post,2,1784346925.895644,1784346926.098509,1784346925.9970765,0.506920371
443,27,post,3,1784346926.098698,1784346926.3044841,1784346926.201591,0.520326529
444,27,post,4,1784346926.304689,1784346926.5097651,1784346926.407227,0.508260987
445,27,post,5,1784346926.509988,1784346926.712824,1784346926.611406,0.493514212
446,27,post,6,1784346926.7130911,1784346926.9232361,1784346926.8181636,0.501557907
447,27,post,7,1784346926.923489,1784346927.129537,1784346927.026513,0.514964066
448,28,pre,0,1784346935.114233,1784346935.314993,1784346935.214613,0.559204389
