window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
63,123,3,formal,up,14,61,1,-2.5796268097424426,1784283041.26991,1784283042.29706,1784283041.783485,0.190776,0.233705,0.396238,0.002651,-0.00556,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3379624,3260045,0,0,0,0,1
64,124,0,formal,up,15,62,0,-2.449073333541344,1784283049.912746,1784283050.94283,1784283050.427788,0.228188,0.250815,0.425089,0.003807,-0.007936,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3643087,3468207,0,0,0,0,1
65,124,1,formal,up,15,62,0,-2.449073333541344,1784283050.9430661,1784283051.958826,1784283051.450946,0.227553,0.250379,0.424424,0.003787,-0.00792,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3629283,3478878,0,0,0,0,1
66,124,2,formal,up,15,62,0,-2.449073333541344,1784283051.959023,1784283052.988889,1784283052.473956,0.227027,0.250123,0.423927,0.003838,-0.007914,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3611160,3468123,0,0,0,0,1
67,124,3,formal,up,15,62,0,-2.449073333541344,1784283052.989142,1784283054.0102348,1784283053.4996884,0.226837,0.250164,0.42413,0.003819,-0.00791,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3617681,3463973,0,0,0,0,1
68,125,0,formal,down,15,62,1,-2.449073333541344,1784283063.034494,1784283064.0458848,1784283063.5401893,0.222322,0.247887,0.420465,0.003901,-0.007919,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3593545,3446443,0,0,0,0,1
69,125,1,formal,down,15,62,1,-2.449073333541344,1784283064.046211,1784283065.072546,1784283064.5593786,0.221832,0.247638,0.420076,0.003878,-0.007929,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3579148,3419512,0,0,0,0,1
70,125,2,formal,down,15,62,1,-2.449073333541344,1784283065.0728772,1784283066.111176,1784283065.5920267,0.221394,0.247486,0.419709,0.003931,-0.007948,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3591343,3438228,0,0,0,0,1
71,125,3,formal,down,15,62,1,-2.449073333541344,1784283066.111404,1784283067.137541,1784283066.6244726,0.221014,0.247284,0.419519,0.003913,-0.007922,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3575252,3437804,0,0,0,0,1
72,126,0,formal,down,65,63,0,4.078600476513591,1784283148.018595,1784283149.0551722,1784283148.5368836,0.922531,-0.361248,-0.611601,-0.000558,0.002923,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5108773,5162804,0,0,0,0,1
