sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
115,112,12,3.735897601485707,3.6094239214158925,-0.12647368006981452,1784282727.441228,1784282728.876727,1784282728.1589775,1.14237229,"[dac] CH_A set to +3.609 V (code=44595)
"
116,112,13,3.6094239214158925,3.482950241346078,-0.12647368006981452,1784282728.876966,1784282730.299497,1784282729.5882316,1.18393138,"[dac] CH_A set to +3.483 V (code=44180)
"
117,112,14,3.482950241346078,3.3564765612762635,-0.12647368006981452,1784282730.299726,1784282731.727252,1784282731.013489,1.25230279,"[dac] CH_A set to +3.356 V (code=43766)
"
118,112,15,3.3564765612762635,3.2300028812064494,-0.12647368006981408,1784282731.7274601,1784282733.15678,1784282732.44212,1.30860865,"[dac] CH_A set to +3.230 V (code=43351)
"
119,112,16,3.2300028812064494,3.103529201136635,-0.12647368006981452,1784282733.156971,1784282734.5983229,1784282733.877647,1.36625513,"[dac] CH_A set to +3.103 V (code=42937)
"
120,112,17,3.103529201136635,2.977055521066821,-0.12647368006981408,1784282734.598517,1784282736.041009,1784282735.319763,1.37832068,"[dac] CH_A set to +2.977 V (code=42523)
"
121,112,18,2.977055521066821,2.8505818409970063,-0.12647368006981452,1784282736.0412002,1784282737.4900851,1784282736.7656426,1.43864839,"[dac] CH_A set to +2.851 V (code=42108)
"
122,112,19,2.8505818409970063,2.7241081609271918,-0.12647368006981452,1784282737.490293,1784282738.920171,1784282738.2052321,1.54321643,"[dac] CH_A set to +2.724 V (code=41694)
"
123,112,20,2.7241081609271918,2.5976344808573777,-0.12647368006981408,1784282738.920419,1784282740.358042,1784282739.6392305,1.50836042,"[dac] CH_A set to +2.598 V (code=41279)
"
124,112,21,2.5976344808573777,2.471160800787563,-0.12647368006981452,1784282740.35825,1784282741.794249,1784282741.0762496,1.54991951,"[dac] CH_A set to +2.471 V (code=40865)
"
125,112,22,2.471160800787563,2.3446871207177487,-0.12647368006981452,1784282741.794472,1784282743.208582,1784282742.5015268,1.60622537,"[dac] CH_A set to +2.345 V (code=40450)
"
126,112,23,2.3446871207177487,2.2182134406479346,-0.12647368006981408,1784282743.208805,1784282744.640379,1784282743.924592,1.61024722,"[dac] CH_A set to +2.218 V (code=40036)
"
127,112,24,2.2182134406479346,2.09173976057812,-0.12647368006981452,1784282744.6405802,1784282746.0911202,1784282745.3658502,1.64376262,"[dac] CH_A set to +2.092 V (code=39621)
"
128,112,25,2.09173976057812,1.9652660805083055,-0.12647368006981452,1784282746.091365,1784282747.54112,1784282746.8162427,1.66387185,"[dac] CH_A set to +1.965 V (code=39207)
"
129,112,26,1.9652660805083055,1.838792400438491,-0.12647368006981452,1784282747.541374,1784282748.983197,1784282748.2622855,1.70409033,"[dac] CH_A set to +1.839 V (code=38793)
"
130,112,27,1.838792400438491,1.712318720368677,-0.12647368006981408,1784282748.983404,1784282750.417908,1784282749.700656,1.67459678,"[dac] CH_A set to +1.712 V (code=38378)
"
131,112,28,1.712318720368677,1.5858450402988624,-0.12647368006981452,1784282750.418127,1784282751.85801,1784282751.1380687,1.72419957,"[dac] CH_A set to +1.586 V (code=37964)
"
132,112,29,1.5858450402988624,1.459371360229048,-0.12647368006981452,1784282751.8582091,1784282753.299828,1784282752.5790186,1.71749649,"[dac] CH_A set to +1.459 V (code=37550)
"
133,112,30,1.459371360229048,1.3328976801592338,-0.12647368006981408,1784282753.300071,1784282754.741199,1784282754.0206351,1.6933654,"[dac] CH_A set to +1.333 V (code=37135)
"
134,112,31,1.3328976801592338,1.2064240000894193,-0.12647368006981452,1784282754.741477,1784282756.180449,1784282755.460963,1.65850939,"[dac] CH_A set to +1.206 V (code=36721)
"
135,113,0,1.3369774762905182,1.4022542143910677,0.06527673810054946,1784282766.465264,1784282767.9079401,1784282767.186602,1.71079341,"[dac] CH_A set to +1.402 V (code=37362)
"
136,113,1,1.4022542143910677,1.4675309524916171,0.06527673810054946,1784282767.908184,1784282769.355225,1784282768.6317046,1.69872787,"[dac] CH_A set to +1.467 V (code=37576)
"
137,114,0,1.3369774762905182,1.2064240000894195,-0.1305534762010987,1784282779.598805,1784282781.028907,1784282780.3138561,1.69202479,"[dac] CH_A set to +1.206 V (code=36721)
"
138,114,1,1.2064240000894195,1.0758705238883208,-0.1305534762010987,1784282781.0291562,1784282782.457943,1784282781.7435496,1.63840015,"[dac] CH_A set to +1.076 V (code=36293)
"
139,114,2,1.0758705238883208,0.9453170476872222,-0.13055347620109858,1784282782.458231,1784282783.899581,1784282783.178906,1.62901584,"[dac] CH_A set to +0.945 V (code=35865)
"
140,114,3,0.9453170476872222,0.8147635714861236,-0.1305534762010987,1784282783.899816,1784282785.340468,1784282784.620142,1.63169707,"[dac] CH_A set to +0.815 V (code=35437)
"
141,114,4,0.8147635714861236,0.6842100952850249,-0.1305534762010987,1784282785.340673,1784282786.788088,1784282786.0643806,1.5834349,"[dac] CH_A set to +0.684 V (code=35009)
"
142,114,5,0.6842100952850249,0.5536566190839263,-0.13055347620109858,1784282786.788309,1784282788.2330089,1784282787.510659,1.55394135,"[dac] CH_A set to +0.554 V (code=34582)
"
143,114,6,0.5536566190839263,0.4231031428828276,-0.1305534762010987,1784282788.2332091,1784282789.673712,1784282788.9534607,1.52042596,"[dac] CH_A set to +0.423 V (code=34154)
"
144,115,0,0.29254966668172866,0.2272729285811792,-0.06527673810054946,1784282799.940386,1784282801.3904362,1784282800.665411,1.4480327,"[dac] CH_A set to +0.227 V (code=33512)
"
145,115,1,0.2272729285811792,0.16199619048062974,-0.06527673810054946,1784282801.3906581,1784282802.842758,1784282802.116708,1.44267024,"[dac] CH_A set to +0.162 V (code=33298)
"
146,116,0,0.29254966668172866,0.18064668708078685,-0.11190297960094181,1784282813.049886,1784282814.487326,1784282813.768606,1.43998901,"[dac] CH_A set to +0.181 V (code=33359)
"
147,116,1,0.18064668708078685,0.06874370747984507,-0.11190297960094178,1784282814.4875588,1784282815.924821,1784282815.2061899,1.39038622,"[dac] CH_A set to +0.069 V (code=32993)
"
148,116,2,0.06874370747984507,-0.043159272121096715,-0.11190297960094178,1784282815.925015,1784282817.374742,1784282816.6498785,1.34748651,"[dac] CH_A set to -0.043 V (code=32626)
"
149,116,3,-0.043159272121096715,-0.15506225172203852,-0.11190297960094181,1784282817.374946,1784282818.79173,1784282818.083338,1.31799296,"[dac] CH_A set to -0.155 V (code=32259)
"
