dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
303,126,post,7,1784368349.4063659,1784368349.61652,1784368349.511443,1.0927695
304,127,pre,0,1784368359.0340228,1784368359.2397451,1784368359.136884,1.06863841
305,127,pre,1,1784368359.239933,1784368359.4468238,1784368359.3433785,1.07400088
306,127,pre,2,1784368359.4471319,1784368359.65538,1784368359.551256,1.08740704
307,127,pre,3,1784368359.655576,1784368359.865715,1784368359.7606454,1.06595718
308,127,pre,4,1784368359.865943,1784368360.0669272,1784368359.966435,1.08606642
309,127,pre,5,1784368360.06709,1784368360.271258,1784368360.1691742,1.05389164
310,127,pre,6,1784368360.271449,1784368360.471703,1784368360.371576,1.0927695
311,127,pre,7,1784368360.471958,1784368360.682085,1784368360.5770216,1.06997903
312,127,post,0,1784368379.372433,1784368379.582592,1784368379.4775124,1.06461657
313,127,post,1,1784368379.582856,1784368379.793004,1784368379.68793,1.05389164
314,127,post,2,1784368379.793216,1784368380.003387,1784368379.8983016,1.06997903
315,127,post,3,1784368380.003586,1784368380.20471,1784368380.104148,1.04852918
316,127,post,4,1784368380.204949,1784368380.4090009,1784368380.306975,1.08606642
317,127,post,5,1784368380.40918,1784368380.619352,1784368380.514266,1.04718856
318,127,post,6,1784368380.6195872,1784368380.8209212,1784368380.7202542,1.07266026
319,127,post,7,1784368380.821103,1784368381.0219011,1784368380.921502,1.04852918
320,128,pre,0,1784368396.201504,1784368396.405323,1784368396.3034134,0.628916414
321,128,pre,1,1784368396.405592,1784368396.613802,1784368396.509697,0.610147792
322,128,pre,2,1784368396.614054,1784368396.824189,1784368396.7191215,0.63025703
323,128,pre,3,1784368396.824369,1784368397.0304399,1784368396.9274044,0.619532103
324,128,pre,4,1784368397.030693,1784368397.2386692,1784368397.1346812,0.618191487
325,128,pre,5,1784368397.238854,1784368397.448991,1784368397.3439226,0.638300725
326,128,pre,6,1784368397.449215,1784368397.658963,1784368397.554089,0.611488408
327,128,pre,7,1784368397.659159,1784368397.864887,1784368397.762023,0.650366267
328,128,post,0,1784368416.5390358,1784368416.749192,1784368416.644114,0.60746656
329,128,post,1,1784368416.749398,1784368416.9554071,1784368416.8524027,0.602104097
330,128,post,2,1784368416.955599,1784368417.156018,1784368417.0558085,0.611488408
331,128,post,3,1784368417.1562712,1784368417.366384,1784368417.2613277,0.600763481
332,128,post,4,1784368417.36657,1784368417.568307,1784368417.4674385,0.610147792
333,128,post,5,1784368417.56851,1784368417.778656,1784368417.673583,0.588697938
334,128,post,6,1784368417.778839,1784368417.986547,1784368417.882693,0.610147792
335,128,post,7,1784368417.9867342,1784368418.188831,1784368418.0877826,0.606125944
336,129,pre,0,1784368427.6367412,1784368427.8468769,1784368427.741809,0.590038554
337,129,pre,1,1784368427.847053,1784368428.057198,1784368427.9521255,0.577973011
338,129,pre,2,1784368428.0574,1784368428.264506,1784368428.160953,0.595401017
339,129,pre,3,1784368428.2647092,1784368428.471675,1784368428.3681922,0.610147792
340,129,pre,4,1784368428.4718661,1784368428.676969,1784368428.5744176,0.586016706
341,129,pre,5,1784368428.677147,1784368428.887276,1784368428.7822113,0.611488408
342,129,pre,6,1784368428.88748,1784368429.088792,1784368428.988136,0.587357322
343,129,pre,7,1784368429.089005,1784368429.297112,1784368429.1930585,0.606125944
